,uplink,uplink,downlink,downlink
,max,min,max,min
name,,,,
SLA-MP-01-01,6538.18,0.0,6812.039999999999,4814.27
SLA-MP-01-02,6643.469999999999,0.0,6397.360000000001,5068.83
STG-MP-01-01,0.0,0.0,0.0,0.0
STG-MP-01-02,0.0,0.0,0.0,0.0
STY-MP-01-01,43504.85,28084.0,26741.93,20949.5
STY-MP-01-02,11354.710000000001,8212.86,27884.72,20128.92
TBH-MP-01-01,12341.239999999998,0.0,10476.58,7928.25
TBH-MP-01-02,12534.310000000001,0.0,10882.21,7963.36
TBH-MP-01-03,10386.88,0.0,10138.19,7214.15
TBH-MP-01-04,10136.499999999998,0.0,9488.67,7099.92
TGG-MP-01-01,5905.34,3407.29,0.0,0.0
TGG-MP-01-02,7191.08,2741.77,0.0,0.0
TGG-MP-01-03,4709.1,3126.04,0.0,0.0
TGG-MP-01-04,10228.15,7010.54,0.0,0.0
THA-MP-01-01,20559.43,14582.01,21599.31,15477.119999999999
THA-MP-01-02,26757.219999999998,20963.010000000002,26307.420000000002,20360.32
THA-MP-03-01,4058.75,0.0,4033.87,2748.13
THA-MP-03-02,3756.5699999999997,0.0,3709.93,2524.9300000000003
TNH-MP-01-01,10122.31,8072.9,11531.61,9268.89
TNH-MP-01-02,13959.94,9855.89,10973.779999999999,8524.71
TNH-MP-01-03,6374.69,4742.46,6683.37,4885.610000000001
TNH-MP-01-04,6960.6900000000005,5886.41,6772.18,5820.51
TNN-MP-01-01,10363.81,8462.08,10951.72,8602.419999999998
TNN-MP-01-02,12410.53,9686.91,10362.26,7665.63
TNN-MP-01-03,12341.27,6890.79,12433.810000000001,7005.26
TNN-MP-01-04,8613.580000000002,5564.16,8481.39,5286.23
TQG-MP-01-01,8198.79,0.0,8512.94,6166.63
TQG-MP-01-02,8819.93,0.0,9202.36,7226.24
TVH-MP-01-01,6311.92,5142.42,0.0,0.0
TVH-MP-01-02,7826.92,6069.139999999999,0.0,0.0
VLG-MP-01-01,3319.59,0.0,0.0,0.0
VLG-MP-01-02,6546.719999999999,0.0,2536.99,265.76
VLG-MP-01-03,8633.369999999999,0.0,0.0,0.0
VLG-MP-01-04,9074.01,0.0,0.0,0.0
VPC-MP-01-01,8754.98,0.0,9353.11,0.0
VPC-MP-01-01-NEW,0.0,0.0,8327.8,0.0
VPC-MP-01-02,9649.720000000001,0.0,15634.7,0.0
VPC-MP-01-02-NEW,0.0,0.0,9627.12,0.0
VTU-MP-01-01,49828.240000000005,25623.2,25344.4,4102.509999999999
VTU-MP-01-02,48080.91,18493.3,26539.09,8641.31
YBI-MP-01-01,6816.379999999999,0.0,7482.34,4515.7
YBI-MP-01-02,6437.0,0.0,6693.74,2794.99
